,com
0,59350
1,58194
2,80131
3,73081
4,34113
5,83097
6,77122
7,64348
8,69199
9,14118
10,6041
11,3080
12,13071
13,97415
14,35238
15,77042
16,92002
17,92026
18,75119
19,37122
20,78440
21,1374
22,33249
23,79191
24,69259
25,49015
26,64102
27,85277
28,6030
29,73290
30,97113
31,6069
32,95572
33,31555
34,69202
35,87085
36,1005
37,93010
38,64445
39,69383
40,93045
41,13055
42,1228
43,97101
44,72031
45,82179
46,83069
47,69386
48,33281
49,201004
50,201247
51,47157
52,94033
53,75110
54,76565
55,53127
56,65127
57,97302
58,75120
59,12089
60,67043
61,38377
62,13004
63,93001
64,17485
65,93066
66,5061
67,33318
68,61153
69,60159
70,94081
71,68007
72,92025
73,93031
74,75112
75,13117
76,91687
77,44109
78,69275
79,92050
80,65447
81,27367
82,38261
83,9013
84,45286
85,79116
86,56007
87,73151
88,76231
89,94022
90,78217
91,75102
92,78640
93,34016
94,91027
95,26170
96,13047
97,52432
98,33033
99,93078
100,93062
101,13213
102,83050
103,84085
104,30028
105,94076
106,37156
107,69091
108,76095
109,94073
110,37214
111,6123
112,49215
113,6027
114,13212
115,76452
116,64260
117,69387
118,77186
119,67125
120,37216
121,92020
122,75113
123,60102
124,16124
125,71040
126,3297
127,91216
128,76404
129,27013
130,91156
131,92036
132,78224
133,75109
134,13103
135,94078
136,34028
137,69276
138,1053
139,13208
140,45234
141,42338
142,33013
143,33397
144,201345
145,75116
146,1185
147,59648
148,97305
149,91689
150,76055
151,202033
152,93032
153,10387
154,13022
155,92032
156,13210
157,69092
158,33032
159,42239
160,15014
161,63164
162,49010
163,66136
164,91553
165,8409
166,64317
167,33063
168,65047
169,78401
170,71412
171,97209
172,73248
173,1235
174,13078
175,93051
176,94065
177,13211
178,49267
179,75107
180,53054
181,93007
182,69096
183,2814
184,97416
185,34240
186,54462
187,97615
188,75114
189,77083
190,82027
191,80021
192,13202
193,1033
194,94054
195,65440
196,60029
197,29155
198,51058
199,95019
200,22214
201,74309
202,18290
203,54273
204,92064
205,64024
206,93046
207,25056
208,19146
209,69116
210,62439
211,76734
212,92012
213,7316
214,77436
215,42182
216,33119
217,75115
218,6029
219,13019
220,93027
221,78423
222,28280
223,74008
224,27049
225,69143
226,73262
227,37132
228,17327
229,93014
230,75117
231,76276
232,71486
233,56140
234,98818
235,55291
236,33162
237,11262
238,41295
239,97213
240,85300
241,8343
242,56113
243,53113
244,94037
245,92073
246,69266
247,94046
248,13201
249,94080
250,67482
251,17471
252,59009
253,76540
254,94002
255,91103
256,16093
257,69389
258,76498
259,33199
260,94021
261,75104
262,1334
263,78621
264,92044
265,79242
266,30178
267,95277
268,60471
269,13215
270,22360
271,2441
272,57428
273,13209
274,51507
275,21231
276,51362
277,92035
278,1109
279,68288
280,22143
281,86158
282,69290
283,93029
284,97210
285,27569
286,14427
287,51454
288,30228
289,95127
290,74225
291,91223
292,83090
293,95607
294,45160
295,75111
296,84078
297,91377
298,91589
299,56205
300,91691
301,93008
302,32116
303,33529
304,3173
305,95598
306,70257
307,13001
308,26183
309,40281
310,85191
311,47048
312,89086
313,47001
314,45235
315,38384
316,91201
317,76280
318,202120
319,27016
320,93061
321,41018
322,95604
323,30012
324,74208
325,62842
326,73296
327,25551
328,49007
329,33039
330,92049
331,77146
332,59371
333,71498
334,202314
335,6018
336,18281
337,29046
338,13032
339,34270
340,37261
341,76575
342,13028
343,76035
344,27617
345,26220
346,16234
347,78090
348,47323
349,30189
350,92014
351,1353
352,62066
353,58057
354,74311
355,77438
356,29232
357,22213
358,75108
359,16148
360,56121
361,74012
362,27681
363,31157
364,69142
365,13005
366,71408
367,94041
368,92051
369,97411
370,38185
371,13043
372,23096
373,38087
374,69168
375,6088
376,95682
